fixNum_f,numSaccs_f,trialNum_f,rawTrialNum_f,rewardedSacc_f,saccPeakVel_f,expectedPeakVel_f,t_fix_f,t_sacc_f,x_targ_f,y_targ_f,x_dist_f,y_dist_f,x_curFix_f,y_curFix_f
13,15,1440,3291,0,652.183349609375,698.612670898438,20828091,20828522,-2.97950828538835,14.6225098929059,14.6225098929059,2.8878311073764,-12.6855888366699,-4.17301797866821
14,15,1440,3291,0,465.127532958984,470.748596191406,20828614,20828859,-2.97950828538835,14.6225098929059,14.6225098929059,2.8878311073764,5.51777410507202,6.93169736862183
15,15,1440,3291,0,927.766540527344,805.150024414063,20828938,20829097,-2.97950828538835,14.6225098929059,14.6225098929059,2.8878311073764,17.5278167724609,5.42045545578003
1,8,1441,3292,0,200.622589111328,285.931671142578,20834003,20834367,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-0.642643392086029,-0.322801858186722
2,8,1441,3292,0,587.721618652344,564.30859375,20834444,20834602,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-0.982017695903778,-7.48716115951538
3,8,1441,3292,0,628.555053710938,667.395080566406,20834673,20835225,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-14.1645355224609,2.18015050888062
4,8,1441,3292,0,383.186767578125,369.553955078125,20835304,20835651,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,3.40674781799316,-8.44420146942139
5,8,1441,3292,0,949.037902832031,974.995727539063,20835715,20836052,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,12.0089569091797,-13.0931997299194
6,8,1441,3292,0,572.051635742188,573.763549804688,20836975,20837356,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-11.3046808242798,3.14095878601074
7,8,1441,3292,0,327.851898193359,291.559692382813,20837438,20838140,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-5.74419450759888,-10.4003534317017
8,8,1441,3292,0,218.518920898438,218.399063110352,20838195,20839272,8.75517050014114,-14.7141870709178,-20.4898492856706,8.84684767815309,-13.0242853164673,-8.29006958007813
1,13,1442,3296,0,409.840698242188,419.611419677734,20870745,20871101,8.75517050014114,-2.97950828538835,-20.5815264636826,-8.84684767815309,-0.633470952510834,0.00433266162872314
